epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5614035129547119,0.6767783761024475,0.0003,0.5,0.6887298822402954
1,0.5438596606254578,0.7098479866981506,0.0003,0.6000000238418579,0.6849433779716492
2,0.7368420958518982,0.6334541440010071,0.0003,0.6000000238418579,0.6825690865516663
3,0.719298243522644,0.6306864619255066,0.0003,0.6000000238418579,0.6802771687507629
4,0.7017543911933899,0.6275830268859863,0.0003,0.5,0.6782609820365906
5,0.8070175647735596,0.5728967189788818,0.0003,0.5,0.6757780313491821
6,0.7894737124443054,0.6097542643547058,0.0003,0.550000011920929,0.673624575138092
7,0.8070175647735596,0.5800469517707825,0.0003,0.6000000238418579,0.671815812587738
8,0.7894737124443054,0.5881730914115906,0.0003,0.6499999761581421,0.6718364357948303
9,0.8070175647735596,0.5546824336051941,0.0003,0.6499999761581421,0.6717580556869507
10,0.7894737124443054,0.547720193862915,0.0003,0.6499999761581421,0.6710489392280579
11,0.7368420958518982,0.6092479825019836,0.0003,0.6000000238418579,0.6709786653518677
12,0.8421052694320679,0.5090084075927734,0.0003,0.6000000238418579,0.6706546545028687
13,0.8421052694320679,0.5349135994911194,0.0003,0.550000011920929,0.6722937822341919
14,0.8421052694320679,0.47685495018959045,0.0003,0.5,0.672878086566925
15,0.8421052694320679,0.5105491280555725,0.0003,0.5,0.6724828481674194
16,0.8947368264198303,0.4580133259296417,0.0003,0.550000011920929,0.6700009703636169
17,0.7894737124443054,0.5097959637641907,0.0003,0.550000011920929,0.6696311235427856
18,0.8245614171028137,0.4759446382522583,0.0003,0.6000000238418579,0.6644179224967957
19,0.8947368264198303,0.4611400067806244,0.0003,0.6000000238418579,0.6633261442184448
20,0.8771929740905762,0.492843896150589,0.0003,0.6000000238418579,0.6658589243888855
21,0.8947368264198303,0.465409517288208,0.0003,0.5,0.673005223274231
22,0.8245614171028137,0.46967998147010803,0.0003,0.5,0.6768107414245605
23,0.8771929740905762,0.47443604469299316,0.0003,0.5,0.6764324903488159
24,0.9122806787490845,0.4233540892601013,0.00015,0.5,0.6745480298995972
25,0.9122806787490845,0.43508636951446533,0.00015,0.5,0.6707164645195007
26,0.9122806787490845,0.4316163957118988,0.00015,0.5,0.6681506633758545
27,0.8947368264198303,0.41039714217185974,0.00015,0.550000011920929,0.6672912836074829
