epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6296296119689941,0.6818916201591492,0.0003,0.6499999761581421,0.7038698196411133
1,0.8148148059844971,0.5543116331100464,0.0003,0.699999988079071,0.6901271343231201
2,0.8518518805503845,0.4734054207801819,0.0003,0.6499999761581421,0.6730080842971802
3,0.8888888955116272,0.41728514432907104,0.0003,0.699999988079071,0.6555353403091431
4,0.8518518805503845,0.3840892016887665,0.0003,0.75,0.63763427734375
5,0.8888888955116272,0.3563114106655121,0.0003,0.75,0.6227708458900452
6,0.8888888955116272,0.32961711287498474,0.0003,0.75,0.6142642498016357
7,0.9074074029922485,0.29715022444725037,0.0003,0.699999988079071,0.6099514961242676
8,0.9074074029922485,0.2870253920555115,0.0003,0.699999988079071,0.6069700717926025
9,0.9259259104728699,0.26818767189979553,0.0003,0.699999988079071,0.6047609448432922
10,0.9074074029922485,0.24882946908473969,0.0003,0.75,0.6120923161506653
11,0.9629629850387573,0.2088521122932434,0.0003,0.699999988079071,0.6258134841918945
12,0.9629629850387573,0.19559834897518158,0.0003,0.699999988079071,0.6293187141418457
13,0.9814814925193787,0.17549797892570496,0.0003,0.699999988079071,0.6218668222427368
14,0.9629629850387573,0.18536049127578735,0.0003,0.699999988079071,0.6228853464126587
15,0.9629629850387573,0.17832130193710327,0.0003,0.699999988079071,0.6350666880607605
16,1.0,0.15543784201145172,0.00015,0.699999988079071,0.6392643451690674
17,0.9814814925193787,0.13518284261226654,0.00015,0.699999988079071,0.6450868844985962
18,1.0,0.1397184431552887,0.00015,0.699999988079071,0.6497691869735718
19,0.9814814925193787,0.13866980373859406,0.00015,0.699999988079071,0.6511238217353821
20,0.9814814925193787,0.11573611944913864,0.00015,0.699999988079071,0.6556893587112427
21,0.9814814925193787,0.14475905895233154,0.00015,0.699999988079071,0.6584682464599609
22,0.9629629850387573,0.14706973731517792,7.5e-05,0.699999988079071,0.6624619364738464
23,1.0,0.11833097040653229,7.5e-05,0.699999988079071,0.6688412427902222
24,1.0,0.10376719385385513,7.5e-05,0.699999988079071,0.6726933717727661
