epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.4736842215061188,0.3485221564769745,0.9496755599975586,0.003,0.6000000238418579,0.6050000190734863,0.7098082304000854
1,0.5263158082962036,0.48152709007263184,0.7557177543640137,0.003,0.5,0.6000000238418579,0.716167151927948
2,0.4912280738353729,0.42918717861175537,0.7607553005218506,0.003,0.44999998807907104,0.6050000190734863,0.7097018957138062
3,0.4736842215061188,0.44519704580307007,0.7471858263015747,0.003,0.44999998807907104,0.6100000143051147,0.7130025625228882
4,0.4912280738353729,0.45258620381355286,0.7626778483390808,0.003,0.5,0.6050000190734863,0.7018062472343445
5,0.45614033937454224,0.43842363357543945,0.7357827425003052,0.003,0.44999998807907104,0.6100000143051147,0.6925941705703735
6,0.4736842215061188,0.511083722114563,0.7139762043952942,0.003,0.44999998807907104,0.6150000095367432,0.6922687292098999
7,0.4385964870452881,0.39716747403144836,0.7440827488899231,0.003,0.550000011920929,0.6000000238418579,0.68779456615448
8,0.5964912176132202,0.5960590839385986,0.6837405562400818,0.003,0.6000000238418579,0.6000000238418579,0.6867716908454895
9,0.3684210479259491,0.39593595266342163,0.7389829158782959,0.003,0.6000000238418579,0.6000000238418579,0.6866210699081421
10,0.4385964870452881,0.41687190532684326,0.7219091653823853,0.003,0.6499999761581421,0.5950000286102295,0.6854907274246216
11,0.42105263471603394,0.4144088625907898,0.7269942760467529,0.003,0.6000000238418579,0.6000000238418579,0.6862496137619019
12,0.5614035129547119,0.4839901626110077,0.7029891610145569,0.003,0.6499999761581421,0.5850000381469727,0.6872598528862
13,0.3684210479259491,0.39162561297416687,0.714962363243103,0.003,0.6000000238418579,0.6150000095367432,0.6873656511306763
14,0.5087719559669495,0.4895320236682892,0.6999496221542358,0.0015,0.6000000238418579,0.6050000190734863,0.6871585249900818
15,0.4736842215061188,0.5646551847457886,0.6819776296615601,0.0015,0.6000000238418579,0.5950000286102295,0.6864409446716309
16,0.4385964870452881,0.4618226885795593,0.6982723474502563,0.0015,0.6000000238418579,0.5850000381469727,0.6866267919540405
