file,label,n_sacc,mean_dur,median_dur,mean_amp,median_amp,mean_peakv,median_peakv,mean_isi,median_isi,sacc_time_ratio
001_0.csv,0,48,27.0625,23.0,0.8036109805883219,0.2814997136592865,0.56504131682838,0.4916107952594757,30.382978723404257,27.0,0.866
001_2.csv,1,51,19.470588235294116,15.0,0.8645109985681141,0.5435141921043396,0.33828042155387356,0.2949479818344116,27.62,25.5,0.662
003_0.csv,0,40,34.0,25.0,0.4672083370387554,0.29155582189559937,0.7440047234296798,0.6995311081409454,37.64102564102564,28.0,0.9066666666666666
006_0.csv,0,60,21.916666666666668,15.0,0.9731403854054709,0.37524810433387756,0.5625156164169312,0.503215104341507,24.694915254237287,20.0,0.8766666666666667
006_2.csv,1,35,39.0,21.0,1.2753692605665752,0.6209498047828674,0.6621376855032785,0.5441150069236755,43.470588235294116,27.0,0.91
008_0.csv,0,58,21.0,15.0,0.7535717506925094,0.4054083675146103,0.49311025106701356,0.4698214828968048,26.0,22.0,0.812
008_2.csv,1,37,37.16216216216216,22.0,0.9941519772684252,0.8968576192855835,0.3892729270297128,0.3664751350879669,41.388888888888886,29.0,0.9166666666666666
009_0.csv,0,51,27.019607843137255,19.0,1.0077121736956578,0.37140631675720215,0.7617841175958222,0.6960842609405518,29.54,22.5,0.9186666666666666
009_2.csv,1,27,53.55555555555556,46.0,1.1035503325638947,1.0037882328033447,0.6413337897371363,0.6089993119239807,56.76923076923077,47.5,0.964
011_0.csv,0,57,19.280701754385966,15.0,0.637718644712055,0.5772917866706848,0.31918142330751087,0.31501421332359314,26.303571428571427,27.5,0.7326666666666667
011_2.csv,1,53,23.77358490566038,19.0,0.986194057003507,0.8913924694061279,0.3331342420347457,0.3297906219959259,28.192307692307693,23.0,0.84
013_2.csv,1,44,27.818181818181817,19.5,1.0420942347158084,0.7237592935562134,0.5370148474519904,0.5607881546020508,33.51162790697674,27.0,0.816
015_0.csv,0,35,39.628571428571426,27.0,1.315587690472603,0.9892829060554504,0.6210834809712001,0.4991462826728821,43.26470588235294,29.0,0.9246666666666666
015_2.csv,1,49,26.877551020408163,20.0,1.32469442030605,1.2179900407791138,0.4670546726912868,0.45482778549194336,30.645833333333332,24.5,0.878
016_0.csv,0,44,30.34090909090909,24.0,0.8459145074540918,0.7864713668823242,0.3134613826193593,0.2882298231124878,32.93023255813954,29.0,0.89
016_2.csv,1,33,40.93939393939394,30.0,1.224030009499102,0.5591629147529602,0.7227806640845357,0.6178984642028809,45.71875,43.0,0.9006666666666666
017_0.csv,0,63,19.063492063492063,14.0,0.619612933831319,0.21883095800876617,0.5867781383650643,0.5686577558517456,23.806451612903224,20.5,0.8006666666666666
017_2.csv,1,42,33.357142857142854,28.0,1.09814077952788,0.6611032783985138,0.8308707983011291,0.8052894175052643,35.80487804878049,30.0,0.934
019_0.csv,0,62,16.79032258064516,13.5,0.588770569091843,0.2623210549354553,0.3532424420118332,0.33940520882606506,23.852459016393443,17.0,0.694
019_2.csv,1,54,20.166666666666668,15.5,0.8556819090412723,0.7586484849452972,0.2830451706217395,0.2709241807460785,27.49056603773585,23.0,0.726
020_0.csv,0,51,26.45098039215686,21.0,1.4928962581005751,0.4298960566520691,0.8652714591692475,0.8233851790428162,29.16,26.5,0.8993333333333333
020_2.csv,1,32,42.3125,33.5,1.2122747121029533,1.0897189378738403,0.4325178135186434,0.4470394104719162,45.29032258064516,35.0,0.9026666666666666
021_0.csv,0,62,17.0,14.0,0.5397207751389472,0.19113841652870178,0.37500175581343714,0.3480115681886673,23.524590163934427,17.0,0.7026666666666667
021_2.csv,1,49,25.959183673469386,24.0,0.9007822191532777,0.6999343633651733,0.411421288945237,0.3854365348815918,28.979166666666668,26.0,0.848
024_0.csv,0,58,17.879310344827587,15.0,1.1541394371667812,1.2087931036949158,0.41990377753973007,0.33137346804142,25.789473684210527,21.0,0.6913333333333334
024_2.csv,1,55,22.2,18.0,1.30406225242398,0.9713026285171509,0.408259717984633,0.36210179328918457,27.444444444444443,24.0,0.814
025_0.csv,0,61,18.868852459016395,14.0,0.6465774480803091,0.20781825482845306,0.48084925554814884,0.432346910238266,23.666666666666668,18.0,0.7673333333333333
025_2.csv,1,51,24.137254901960784,21.0,1.0864193871909498,0.8901797533035278,0.39247363718116984,0.34556981921195984,29.12,26.5,0.8206666666666667
026_0.csv,0,60,19.416666666666668,15.0,1.5334213975816966,1.0502579808235168,0.6234467834234237,0.5310734808444977,24.949152542372882,23.0,0.7766666666666666
026_2.csv,1,35,39.57142857142857,26.0,1.0873002069337028,0.7575345039367676,0.557351675416742,0.532547116279602,42.94117647058823,31.5,0.9233333333333333
027_0.csv,0,37,13.27027027027027,12.0,0.3877320979797357,0.14926180243492126,0.1996048517726563,0.20133349299430847,38.333333333333336,29.0,0.3273333333333333
027_2.csv,1,59,15.728813559322035,13.0,0.6978596710931446,0.5634023547172546,0.297880316437301,0.2768741846084595,25.689655172413794,22.0,0.6186666666666667
028_0.csv,0,46,28.108695652173914,22.5,1.6133314970394839,0.717779666185379,0.9543290021626846,0.8572854399681091,32.91111111111111,29.0,0.862
028_2.csv,1,41,33.829268292682926,29.0,1.0333869366384134,0.9183238744735718,0.4787647880432082,0.4303909242153168,36.075,31.5,0.9246666666666666
029_0.csv,0,43,31.162790697674417,27.0,0.8130072632501292,0.38915637135505676,0.6556386899116428,0.582711935043335,35.26190476190476,30.0,0.8933333333333333
031_0.csv,0,61,13.62295081967213,12.0,0.3167879955812556,0.18295398354530334,0.304068067034737,0.2966581881046295,24.25,15.0,0.554
031_2.csv,1,61,20.62295081967213,15.0,0.6449195329160964,0.4663185179233551,0.4227021878860036,0.38300925493240356,23.8,20.5,0.8386666666666667
032_0.csv,0,45,27.57777777777778,18.0,1.2954230450093747,1.0347976684570312,0.639388617210918,0.5432130694389343,33.70454545454545,23.0,0.8273333333333334
032_2.csv,1,53,23.169811320754718,18.0,0.970154113575535,0.6964388489723206,0.474656527897097,0.4656399190425873,27.442307692307693,21.5,0.8186666666666667
033_0.csv,0,57,18.36842105263158,14.0,0.8522879537194967,0.7078467607498169,0.3988521997081606,0.38029393553733826,26.267857142857142,25.0,0.698
033_2.csv,1,25,55.96,45.0,1.241558610200882,1.2094701528549194,0.44100907772779463,0.43051639199256897,61.208333333333336,53.0,0.9326666666666666
034_2.csv,1,35,39.6,30.0,1.1699664739625795,0.8286378979682922,0.493683180638722,0.5292676091194153,43.26470588235294,35.0,0.924
036_0.csv,0,62,13.0,12.0,0.3153696323129078,0.10386354476213455,0.30833637642283596,0.2636967897415161,22.81967213114754,15.0,0.5373333333333333
