ablation,setting,acc,macro_f1,roc_auc,time_sec
EyeChannel,left,0.9,0.898989898989899,1.0,4.390973625006154
EyeChannel,right,0.6,0.5238095238095238,1.0,4.724928666022606
EyeChannel,both,1.0,1.0,1.0,4.706239500083029
