epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5925925970077515,1.7037794589996338,0.0003,0.800000011920929,0.4212745130062103
1,0.7037037014961243,3.267298936843872,0.0003,0.8999999761581421,0.3606763780117035
2,0.7777777910232544,1.9154187440872192,0.0003,0.75,0.47731971740722656
3,0.8518518805503845,1.0920698642730713,0.0003,0.8999999761581421,0.39895910024642944
4,0.9074074029922485,0.34757187962532043,0.0003,0.75,0.48980894684791565
5,0.8518518805503845,1.0905154943466187,0.0003,0.75,0.4796261191368103
6,0.9259259104728699,0.3677746057510376,0.0003,0.8500000238418579,0.4467346668243408
7,0.9074074029922485,0.3514673411846161,0.0003,0.8500000238418579,0.4682992100715637
8,0.9444444179534912,0.12308406084775925,0.00015,0.8500000238418579,0.449810653924942
9,0.9629629850387573,0.12392996996641159,0.00015,0.8999999761581421,0.42733025550842285
10,0.9629629850387573,0.1065635234117508,0.00015,0.949999988079071,0.4255583882331848
11,0.9814814925193787,0.11333408206701279,0.00015,1.0,0.41910305619239807
12,1.0,0.06759926676750183,0.00015,0.8500000238418579,0.42451685667037964
13,0.9814814925193787,0.06981474906206131,0.00015,0.8500000238418579,0.4302510619163513
14,1.0,0.046718236058950424,7.5e-05,0.8500000238418579,0.4272170662879944
15,0.9814814925193787,0.138401061296463,7.5e-05,0.800000011920929,0.44331780076026917
16,0.9444444179534912,0.08932076394557953,7.5e-05,0.800000011920929,0.4599386155605316
