epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5636363625526428,0.7497260570526123,0.0003,0.75,0.6970900297164917
1,0.800000011920929,0.5843744277954102,0.0003,0.75,0.6740690469741821
2,0.8545454740524292,0.5262891054153442,0.0003,0.75,0.6551560163497925
3,0.8545454740524292,0.4574129283428192,0.0003,0.75,0.6332689523696899
4,0.9090909361839294,0.3877887725830078,0.0003,0.75,0.6116065979003906
5,0.8727272748947144,0.40424495935440063,0.0003,0.75,0.5911168456077576
6,0.8727272748947144,0.33897027373313904,0.0003,0.75,0.5762256383895874
7,0.8909090757369995,0.3235034644603729,0.0003,0.75,0.5685416460037231
8,0.9636363387107849,0.26460525393486023,0.0003,0.75,0.5643865466117859
9,0.9090909361839294,0.25000864267349243,0.0003,0.75,0.5544518232345581
10,0.9272727370262146,0.23593637347221375,0.0003,0.75,0.5478016138076782
11,0.8909090757369995,0.2412349134683609,0.0003,0.75,0.5464567542076111
12,0.9454545378684998,0.19890199601650238,0.0003,0.75,0.547282874584198
13,0.9272727370262146,0.19923116266727448,0.0003,0.75,0.541067361831665
14,0.9818181991577148,0.1658911108970642,0.0003,0.75,0.5397454500198364
15,1.0,0.14097493886947632,0.0003,0.75,0.5359535813331604
16,0.9818181991577148,0.13013260066509247,0.0003,0.75,0.5194534063339233
17,0.9818181991577148,0.10959450155496597,0.0003,0.75,0.5176788568496704
18,0.9818181991577148,0.11015533655881882,0.0003,0.699999988079071,0.5421894788742065
19,0.9818181991577148,0.10444581508636475,0.0003,0.699999988079071,0.5692172646522522
20,1.0,0.09650315344333649,0.0003,0.699999988079071,0.5781970620155334
21,1.0,0.08154040575027466,0.0003,0.699999988079071,0.5469359159469604
22,1.0,0.06500785052776337,0.0003,0.800000011920929,0.5183678865432739
23,1.0,0.07823148369789124,0.0003,0.800000011920929,0.5219544768333435
24,1.0,0.06716184318065643,0.00015,0.699999988079071,0.5556279420852661
25,1.0,0.05781809240579605,0.00015,0.699999988079071,0.5886501669883728
26,1.0,0.05764944851398468,0.00015,0.699999988079071,0.5947598218917847
27,1.0,0.05503898486495018,0.00015,0.699999988079071,0.5797497630119324
28,1.0,0.0463271401822567,0.00015,0.699999988079071,0.5648788213729858
29,1.0,0.048482030630111694,0.00015,0.75,0.5478489995002747
30,1.0,0.050609197467565536,7.5e-05,0.75,0.5424525141716003
31,1.0,0.04180373251438141,7.5e-05,0.75,0.5399793386459351
32,1.0,0.04988156259059906,7.5e-05,0.75,0.5385417938232422
