epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.4736842215061188,0.43842363357543945,0.7179197072982788,7.5e-05,0.6000000238418579,0.6000000238418579,0.6859575510025024
1,0.5789473652839661,0.6453202366828918,0.6726573705673218,7.5e-05,0.6000000238418579,0.625,0.6851086616516113
2,0.5614035129547119,0.5892857313156128,0.6777610778808594,7.5e-05,0.6000000238418579,0.5999999642372131,0.6842597723007202
3,0.5087719559669495,0.5036945343017578,0.693852961063385,7.5e-05,0.6000000238418579,0.6100000143051147,0.6844912171363831
4,0.4912280738353729,0.4913793206214905,0.704563558101654,7.5e-05,0.550000011920929,0.6299999952316284,0.6850073337554932
5,0.6666666865348816,0.6182266473770142,0.6813578009605408,7.5e-05,0.44999998807907104,0.625,0.685416579246521
6,0.5263158082962036,0.5751231908798218,0.68365079164505,7.5e-05,0.44999998807907104,0.6299999952316284,0.6863847374916077
7,0.4385964870452881,0.4710591435432434,0.7102559208869934,7.5e-05,0.5,0.6349999904632568,0.6860059499740601
8,0.6491228342056274,0.6576354503631592,0.668988049030304,3.75e-05,0.5,0.6299999356269836,0.6857781410217285
9,0.4385964870452881,0.46182265877723694,0.7213675379753113,3.75e-05,0.5,0.6349999904632568,0.6856191754341125
10,0.5263158082962036,0.44211822748184204,0.7116101384162903,3.75e-05,0.5,0.6299999952316284,0.685155987739563
11,0.4736842215061188,0.45073890686035156,0.7191577553749084,3.75e-05,0.44999998807907104,0.6399999856948853,0.6846297979354858
12,0.4736842215061188,0.5043103694915771,0.7023722529411316,3.75e-05,0.44999998807907104,0.6399999856948853,0.6839787364006042
13,0.38596490025520325,0.4285714030265808,0.7118051648139954,3.75e-05,0.5,0.6299999952316284,0.683295488357544
14,0.5263158082962036,0.5344827175140381,0.6943108439445496,3.75e-05,0.6000000238418579,0.6399999856948853,0.6827700734138489
15,0.5614035129547119,0.6379309892654419,0.6678822636604309,3.75e-05,0.6000000238418579,0.6399999856948853,0.682520866394043
16,0.5087719559669495,0.4981527328491211,0.6984613537788391,3.75e-05,0.6000000238418579,0.6549999713897705,0.6822051405906677
17,0.4912280738353729,0.49753695726394653,0.7021331191062927,3.75e-05,0.6000000238418579,0.6499999761581421,0.6819804310798645
18,0.5087719559669495,0.4211822748184204,0.7168552279472351,3.75e-05,0.6000000238418579,0.6449999809265137,0.6817748546600342
19,0.5438596606254578,0.5504926443099976,0.6884693503379822,3.75e-05,0.6000000238418579,0.6399999856948853,0.6816836595535278
20,0.45614033937454224,0.45258620381355286,0.7109173536300659,3.75e-05,0.6000000238418579,0.6399999856948853,0.6816351413726807
21,0.4385964870452881,0.45997539162635803,0.7067515850067139,3.75e-05,0.6000000238418579,0.6449999809265137,0.6817532777786255
22,0.45614033937454224,0.5043103694915771,0.6980434656143188,3.75e-05,0.6000000238418579,0.6499999761581421,0.6818512678146362
23,0.5087719559669495,0.5597290992736816,0.685407280921936,3.75e-05,0.6000000238418579,0.6550000309944153,0.6816364526748657
24,0.5789473652839661,0.5923645496368408,0.6809065341949463,3.75e-05,0.6000000238418579,0.6399999856948853,0.6814030408859253
25,0.4912280738353729,0.4766009449958801,0.7044259905815125,3.75e-05,0.6000000238418579,0.6449999809265137,0.6811935305595398
26,0.5438596606254578,0.5504925847053528,0.6901550889015198,3.75e-05,0.6000000238418579,0.6549999713897705,0.6808604001998901
27,0.5438596606254578,0.46551722288131714,0.7060490250587463,3.75e-05,0.6000000238418579,0.6649999618530273,0.6805564761161804
28,0.4385964870452881,0.40455666184425354,0.7169740796089172,3.75e-05,0.6000000238418579,0.6650000214576721,0.6803683042526245
29,0.5438596606254578,0.5375615358352661,0.6930074691772461,3.75e-05,0.6000000238418579,0.6600000262260437,0.6803045272827148
30,0.3684210479259491,0.3910098671913147,0.7195045948028564,3.75e-05,0.6000000238418579,0.6599999666213989,0.6804254651069641
31,0.6140350699424744,0.5418719053268433,0.6929476261138916,3.75e-05,0.6000000238418579,0.6599999666213989,0.6804715394973755
32,0.6140350699424744,0.6594827771186829,0.6755875945091248,3.75e-05,0.6000000238418579,0.6649999618530273,0.6805955171585083
33,0.5438596606254578,0.5584975481033325,0.6850200295448303,3.75e-05,0.6000000238418579,0.6699999570846558,0.6806478500366211
34,0.5087719559669495,0.5455664992332458,0.6863856315612793,1.875e-05,0.6000000238418579,0.6499999761581421,0.6806877255439758
35,0.5087719559669495,0.5511083602905273,0.6843334436416626,1.875e-05,0.550000011920929,0.6549999713897705,0.6807070970535278
36,0.45614033937454224,0.4193349778652191,0.7079627513885498,1.875e-05,0.550000011920929,0.6699999570846558,0.6806858777999878
37,0.45614033937454224,0.4895320236682892,0.7005273699760437,1.875e-05,0.550000011920929,0.6699999570846558,0.6806461811065674
38,0.5087719559669495,0.5116995573043823,0.6954330205917358,1.875e-05,0.550000011920929,0.6699999570846558,0.6806362867355347
39,0.5614035129547119,0.5942118167877197,0.6803852319717407,9.375e-06,0.550000011920929,0.6649999618530273,0.6806203722953796
40,0.5438596606254578,0.44581279158592224,0.7031088471412659,9.375e-06,0.550000011920929,0.675000011920929,0.6806193590164185
41,0.4035087823867798,0.41502460837364197,0.7159830331802368,9.375e-06,0.550000011920929,0.675000011920929,0.6806348562240601
