ablation,setting,acc,macro_f1,roc_auc,time_sec
Coord,x,0.8095238095238095,0.8055555555555555,0.8636363636363636,10.729611416812986
Coord,y,0.8571428571428571,0.8558352402745996,0.8818181818181818,12.771321332780644
