ablation,setting,acc,macro_f1,roc_auc,time_sec
EyeChannel,left,0.8823529411764706,0.8785714285714286,0.9857142857142858,86.88691433297936
EyeChannel,right,0.8823529411764706,0.8712121212121211,1.0,126.76594883296639
EyeChannel,both,0.8823529411764706,0.8819444444444445,1.0,69.40348658396397
