epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5185185074806213,2.4347498416900635,0.0003,0.5,0.9110480546951294
1,0.5370370149612427,1.8515496253967285,0.0003,0.5,1.0371372699737549
2,0.5740740895271301,1.4769155979156494,0.0003,0.5,1.2720733880996704
3,0.5370370149612427,1.1873788833618164,0.0003,0.5,1.4914674758911133
4,0.5555555820465088,1.145060658454895,0.0003,0.5,1.5473264455795288
5,0.6111111044883728,0.6557764410972595,0.0003,0.5,1.5030522346496582
6,0.6851851940155029,0.7239152193069458,0.0003,0.5,1.4218693971633911
7,0.6666666865348816,0.6763832569122314,0.00015,0.5,1.221771240234375
8,0.6666666865348816,0.6804900765419006,0.00015,0.5,1.0473144054412842
9,0.6111111044883728,0.8745470643043518,0.00015,0.550000011920929,0.8921891450881958
10,0.6851851940155029,0.5698649883270264,0.00015,0.6000000238418579,0.7808691263198853
11,0.7592592835426331,0.652186930179596,0.00015,0.6000000238418579,0.6977120637893677
12,0.6481481194496155,0.6659601926803589,0.00015,0.75,0.6300214529037476
13,0.7037037014961243,0.5961446166038513,0.00015,0.800000011920929,0.5833393335342407
14,0.6481481194496155,0.6811187863349915,0.00015,0.75,0.551825761795044
15,0.7592592835426331,0.5812590718269348,0.00015,0.75,0.5349008440971375
16,0.7037037014961243,0.6175915598869324,0.00015,0.699999988079071,0.5235663652420044
17,0.7222222089767456,0.5201972126960754,0.00015,0.75,0.5224129557609558
18,0.7777777910232544,0.43238651752471924,0.00015,0.6499999761581421,0.5246327519416809
19,0.7037037014961243,0.6391310691833496,0.00015,0.6499999761581421,0.5285110473632812
20,0.6481481194496155,0.5704951882362366,0.00015,0.6499999761581421,0.5325263738632202
21,0.7407407164573669,0.6039800047874451,0.00015,0.699999988079071,0.5373342633247375
22,0.7592592835426331,0.5964060425758362,0.00015,0.699999988079071,0.5444613695144653
23,0.7407407164573669,0.4482988119125366,0.00015,0.75,0.5564748048782349
24,0.7777777910232544,0.502936601638794,7.5e-05,0.75,0.5674771666526794
25,0.7962962985038757,0.45965060591697693,7.5e-05,0.75,0.5797936916351318
26,0.6296296119689941,0.6717074513435364,7.5e-05,0.75,0.590232253074646
27,0.7592592835426331,0.5288815498352051,7.5e-05,0.75,0.6018370389938354
28,0.8148148059844971,0.5456103086471558,7.5e-05,0.75,0.6154365539550781
29,0.6666666865348816,0.6201179623603821,7.5e-05,0.75,0.6300534009933472
30,0.6851851940155029,0.6329121589660645,3.75e-05,0.699999988079071,0.6402128338813782
31,0.7777777910232544,0.5195038914680481,3.75e-05,0.699999988079071,0.6502164602279663
32,0.7777777910232544,0.49111977219581604,3.75e-05,0.699999988079071,0.6572784781455994
