epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5090909004211426,0.8444099426269531,0.0003,0.550000011920929,0.7050250172615051
1,0.6000000238418579,0.6879593729972839,0.0003,0.5,0.6960627436637878
2,0.4545454680919647,0.7465206980705261,0.0003,0.550000011920929,0.6908947229385376
3,0.6181818246841431,0.6602466106414795,0.0003,0.4000000059604645,0.6870611906051636
4,0.6727272868156433,0.5918009877204895,0.0003,0.4000000059604645,0.6857541799545288
5,0.6727272868156433,0.6016288995742798,0.0003,0.4000000059604645,0.6853039860725403
6,0.6727272868156433,0.605384886264801,0.0003,0.550000011920929,0.6886332631111145
7,0.7272727489471436,0.5685321688652039,0.0003,0.550000011920929,0.6905784606933594
8,0.6000000238418579,0.613339900970459,0.0003,0.550000011920929,0.6844847202301025
9,0.7454545497894287,0.4848909080028534,0.0003,0.5,0.6882466673851013
10,0.6181818246841431,0.564638614654541,0.0003,0.5,0.6919223070144653
11,0.800000011920929,0.46895211935043335,0.0003,0.5,0.6806178092956543
12,0.8181818127632141,0.454398512840271,0.0003,0.550000011920929,0.6701159477233887
13,0.7818182110786438,0.4717763662338257,0.0003,0.5,0.6457796692848206
14,0.7454545497894287,0.46645063161849976,0.0003,0.6000000238418579,0.6401711702346802
15,0.8909090757369995,0.37334251403808594,0.0003,0.550000011920929,0.6239527463912964
16,0.8545454740524292,0.41295352578163147,0.0003,0.6499999761581421,0.6030190587043762
17,0.9090909361839294,0.34095412492752075,0.0003,0.75,0.5914818048477173
18,0.8909090757369995,0.34615492820739746,0.0003,0.75,0.5917338132858276
19,0.8363636136054993,0.37584179639816284,0.0003,0.75,0.5907989740371704
20,0.8727272748947144,0.31037697196006775,0.0003,0.6499999761581421,0.6010478138923645
21,0.8727272748947144,0.30418524146080017,0.0003,0.550000011920929,0.6244295239448547
22,0.9272727370262146,0.25828132033348083,0.0003,0.6000000238418579,0.6211482882499695
23,0.8909090757369995,0.29567185044288635,0.0003,0.6000000238418579,0.6157373189926147
24,0.8909090757369995,0.2798503041267395,0.0003,0.6000000238418579,0.6283985376358032
25,0.8909090757369995,0.29984450340270996,0.0003,0.6499999761581421,0.5887143611907959
26,0.8909090757369995,0.2525644302368164,0.0003,0.6000000238418579,0.5990843176841736
27,0.8909090757369995,0.239170104265213,0.0003,0.6000000238418579,0.6454871892929077
28,0.9454545378684998,0.19924047589302063,0.0003,0.550000011920929,0.7688689827919006
29,0.8909090757369995,0.2656914293766022,0.0003,0.5,0.9881955981254578
30,0.9272727370262146,0.21220363676548004,0.0003,0.5,1.105820894241333
31,0.9090909361839294,0.1952814906835556,0.0003,0.5,1.2099672555923462
32,0.8909090757369995,0.23985399305820465,0.00015,0.5,1.1768325567245483
33,1.0,0.16351628303527832,0.00015,0.5,1.0514891147613525
34,0.9636363387107849,0.1780882328748703,0.00015,0.550000011920929,0.8615756034851074
35,0.9090909361839294,0.21907487511634827,0.00015,0.6000000238418579,0.6423216462135315
36,0.9818181991577148,0.1328239142894745,0.00015,0.699999988079071,0.5479744076728821
37,0.9272727370262146,0.2130190134048462,0.00015,0.699999988079071,0.5258480310440063
38,0.9636363387107849,0.1701836884021759,0.00015,0.75,0.5338643193244934
39,0.9454545378684998,0.24570511281490326,0.00015,0.75,0.5367733240127563
40,0.9272727370262146,0.1910731941461563,0.00015,0.75,0.5411707758903503
41,0.9454545378684998,0.16479219496250153,0.00015,0.699999988079071,0.5532863140106201
42,0.9454545378684998,0.17545433342456818,0.00015,0.699999988079071,0.5638161897659302
43,0.9818181991577148,0.13184379041194916,0.00015,0.699999988079071,0.5659624338150024
44,0.9090909361839294,0.1793709695339203,7.5e-05,0.699999988079071,0.5684059858322144
45,0.9454545378684998,0.15968884527683258,7.5e-05,0.699999988079071,0.5759544968605042
46,0.9636363387107849,0.17581942677497864,7.5e-05,0.699999988079071,0.5807889103889465
47,0.9636363387107849,0.1392998844385147,7.5e-05,0.699999988079071,0.5864462852478027
48,0.9636363387107849,0.15502136945724487,7.5e-05,0.699999988079071,0.6120532751083374
49,0.9818181991577148,0.14353622496128082,7.5e-05,0.699999988079071,0.6214271783828735
50,0.9636363387107849,0.1411180943250656,3.75e-05,0.699999988079071,0.6265347003936768
51,0.9636363387107849,0.1580665111541748,3.75e-05,0.699999988079071,0.632678747177124
52,0.9818181991577148,0.16423587501049042,3.75e-05,0.699999988079071,0.6293160319328308
