,filename,abs_lx,abs_ly,abs_rx,abs_ry,open_eyes
0,069/2/2022-11-09 14:57:39.609050-0.jpg,286.96104,534.191725,764.05016,522.0158299999999,1
1,069/2/2022-11-09 14:57:39.622790-1.jpg,287.399195,532.183955,759.239885,521.36837,1
2,069/2/2022-11-09 14:57:39.633348-2.jpg,283.43198,533.4656299999999,757.574665,521.429865,1
3,069/2/2022-11-09 14:57:39.641821-3.jpg,280.705925,533.011095,753.90041,521.04478,1
4,069/2/2022-11-09 14:57:39.648725-4.jpg,275.5585,535.004965,748.97852,521.60321,1
5,069/2/2022-11-09 14:57:39.654593-5.jpg,274.42733,534.890175,749.518725,519.734185,1
6,069/2/2022-11-09 14:57:39.658484-6.jpg,274.16412,534.31691,743.30806,521.85631,1
7,069/2/2022-11-09 14:57:39.661851-7.jpg,271.35442,532.601545,741.449515,520.57385,1
8,069/2/2022-11-09 14:57:39.665856-8.jpg,272.982055,532.01157,742.580865,520.586625,1
9,069/2/2022-11-09 14:57:39.669228-9.jpg,272.08331,534.9028800000001,738.2996499999999,520.89474,1
10,069/2/2022-11-09 14:57:39.672608-10.jpg,271.81453,530.641155,738.09106,520.13737,1
11,069/2/2022-11-09 14:57:39.675474-11.jpg,317.62158,528.32669,789.66158,516.7693200000001,1
12,069/2/2022-11-09 14:57:39.679090-12.jpg,315.9445,526.25968,794.4410399999999,514.11695,1
13,069/2/2022-11-09 14:57:39.683411-13.jpg,312.58347000000003,527.30664,791.61433,514.095795,1
14,069/2/2022-11-09 14:57:39.686811-14.jpg,317.950665,524.06862,784.8138099999999,514.99972,1
15,069/2/2022-11-09 14:57:39.689976-15.jpg,315.594295,526.516755,789.047395,514.350185,1
16,069/2/2022-11-09 14:57:39.693171-16.jpg,315.591895,526.4564700000001,790.314985,516.17943,1
17,069/2/2022-11-09 14:57:39.696527-17.jpg,319.31629,524.75823,787.4965,515.31083,1
18,069/2/2022-11-09 14:57:39.700399-18.jpg,318.201025,523.79932,787.4469700000001,514.28063,1
19,069/2/2022-11-09 14:57:39.704636-19.jpg,321.17945999999995,526.85298,791.61495,513.1261850000001,1
20,069/2/2022-11-09 14:57:39.708479-20.jpg,318.605435,525.38702,789.1315400000001,517.28658,1
21,069/2/2022-11-09 14:57:39.711496-21.jpg,322.43141,526.1885500000001,794.6963000000001,515.15896,1
22,069/2/2022-11-09 14:57:39.715603-22.jpg,317.33308,526.20867,791.8569200000001,513.87327,1
23,069/2/2022-11-09 14:57:39.719578-23.jpg,321.46933,524.404985,790.5280300000001,517.94337,1
24,069/2/2022-11-09 14:57:39.722667-24.jpg,320.38366,527.71913,791.4321,516.22435,1
25,069/2/2022-11-09 14:57:39.726009-25.jpg,316.92355,524.853765,792.105965,512.722475,1
26,069/2/2022-11-09 14:57:39.730782-26.jpg,318.80621,526.2224,790.650825,516.091425,1
27,069/2/2022-11-09 14:57:39.737033-27.jpg,316.610495,528.12464,789.9394400000001,516.92665,1
28,069/2/2022-11-09 14:57:39.743110-28.jpg,317.263785,528.2379149999999,792.75367,512.013665,1
29,069/2/2022-11-09 14:57:39.749604-29.jpg,322.279245,529.4677899999999,792.0518,513.46964,1
30,069/2/2022-11-09 14:57:39.755539-30.jpg,315.35978,527.7155150000001,792.20857,517.469035,1
31,069/2/2022-11-09 14:57:39.761579-31.jpg,316.573535,527.35272,791.846415,516.28493,1
32,069/2/2022-11-09 14:57:39.768343-32.jpg,323.10079,529.783555,790.8518700000001,516.452315,1
33,069/2/2022-11-09 14:57:39.774323-33.jpg,323.192345,529.36623,791.25223,518.560385,1
34,069/2/2022-11-09 14:57:39.780889-34.jpg,321.032815,527.13621,790.4692600000001,513.971935,1
35,069/2/2022-11-09 14:57:39.786808-35.jpg,318.684015,527.524625,790.334965,516.09973,1
36,069/2/2022-11-09 14:57:39.792786-36.jpg,316.254455,528.04813,790.1216499999999,513.767685,1
37,069/2/2022-11-09 14:57:39.800088-37.jpg,319.409855,528.34649,787.19874,516.72348,1
38,069/2/2022-11-09 14:57:39.805460-38.jpg,316.43927999999994,525.31737,789.5003399999999,513.673205,1
39,069/2/2022-11-09 14:57:39.811694-39.jpg,323.38525,530.334165,788.55702,516.628345,1
40,069/2/2022-11-09 14:57:39.818103-40.jpg,317.71074,525.88532,790.1105299999999,516.006895,1
41,069/2/2022-11-09 14:57:39.826172-41.jpg,319.98693000000003,529.93244,790.141215,514.3015300000001,1
42,069/2/2022-11-09 14:57:39.833699-42.jpg,316.822585,530.190385,787.2902099999999,516.12399,1
43,069/2/2022-11-09 14:57:39.839450-43.jpg,322.13905,529.17413,790.25958,515.7946300000001,1
44,069/2/2022-11-09 14:57:39.843497-44.jpg,319.59744,530.084345,784.47732,516.3253,1
45,069/2/2022-11-09 14:57:39.849618-45.jpg,324.236015,529.190515,787.2320599999999,514.0404100000001,1
46,069/2/2022-11-09 14:57:39.855545-46.jpg,317.129615,526.660765,791.28273,515.98738,1
47,069/2/2022-11-09 14:57:39.861646-47.jpg,317.509,528.496935,790.90618,516.93267,1
48,069/2/2022-11-09 14:57:39.868175-48.jpg,318.873915,529.5298100000001,793.10849,512.89494,1
49,069/2/2022-11-09 14:57:39.875317-49.jpg,318.20166,527.817415,791.135545,514.1037550000001,1
50,069/2/2022-11-09 14:57:39.883013-50.jpg,317.243995,528.37417,791.26982,518.52943,1
51,069/2/2022-11-09 14:57:39.889056-51.jpg,321.82885,526.5866550000001,790.8338200000001,514.43038,1
52,069/2/2022-11-09 14:57:39.893305-52.jpg,321.85683,527.3900600000001,791.31495,516.264375,1
53,069/2/2022-11-09 14:57:39.899158-53.jpg,317.231375,528.79308,790.7176,516.214485,1
54,069/2/2022-11-09 14:57:39.905592-54.jpg,322.075195,528.072785,789.5799400000001,515.82477,1
55,069/2/2022-11-09 14:57:39.911635-55.jpg,317.573105,525.51971,790.26892,514.79927,1
56,069/2/2022-11-09 14:57:39.918527-56.jpg,320.638995,530.21494,791.4419800000001,514.6412700000001,1
