,filename,abs_lx,abs_ly,abs_rx,abs_ry,open_eyes
0,071/3/2022-11-14 10:45:21.337191-0.jpg,326.69798000000003,540.582105,765.0848400000001,530.163405,1.0
1,071/3/2022-11-14 10:45:21.351488-1.jpg,327.32429,540.64171,762.74796,531.5009150000001,1.0
2,071/3/2022-11-14 10:45:21.360183-2.jpg,329.859455,538.52002,761.481935,529.63262,1.0
3,071/3/2022-11-14 10:45:21.367389-3.jpg,327.72957,538.95923,761.5581599999999,530.1906,1.0
4,071/3/2022-11-14 10:45:21.372388-4.jpg,369.750005,531.386735,808.0415300000001,546.91008,1.0
5,071/3/2022-11-14 10:45:21.376288-5.jpg,368.855995,532.031825,807.6516600000001,545.69566,1.0
6,071/3/2022-11-14 10:45:21.379158-6.jpg,368.808565,531.58298,806.636795,544.683705,1.0
7,071/3/2022-11-14 10:45:21.382996-7.jpg,370.32092,529.98906,809.1380800000001,546.9983199999999,1.0
8,071/3/2022-11-14 10:45:21.387590-8.jpg,371.526875,530.7707800000001,809.166255,545.655645,1.0
9,071/3/2022-11-14 10:45:21.391254-9.jpg,366.46742,531.15328,806.4035600000001,545.996125,1.0
10,071/3/2022-11-14 10:45:21.397041-10.jpg,368.404545,532.45028,805.8438249999999,541.918955,1.0
11,071/3/2022-11-14 10:45:21.403752-11.jpg,368.036795,531.900315,809.1724999999999,548.781735,1.0
12,071/3/2022-11-14 10:45:21.409746-12.jpg,369.24559,535.059555,809.55049,544.701575,1.0
13,071/3/2022-11-14 10:45:21.416204-13.jpg,366.84023,532.29242,807.34492,543.1462,1.0
14,071/3/2022-11-14 10:45:21.421914-14.jpg,367.945885,530.14552,805.7845349999999,544.589205,1.0
15,071/3/2022-11-14 10:45:21.428220-15.jpg,366.733345,527.60472,806.96264,545.376015,1.0
16,071/3/2022-11-14 10:45:21.437607-16.jpg,371.54912,532.626175,807.473055,543.53981,1.0
17,071/3/2022-11-14 10:45:21.443820-17.jpg,366.71418,529.9124850000001,808.6137200000001,545.86961,1.0
18,071/3/2022-11-14 10:45:21.450242-18.jpg,367.54362,529.050915,808.0302450000001,544.219765,1.0
19,071/3/2022-11-14 10:45:21.454539-19.jpg,367.87912,528.70175,809.10238,545.877395,1.0
20,071/3/2022-11-14 10:45:21.459280-20.jpg,371.061915,529.074615,810.15,544.67507,1.0
21,071/3/2022-11-14 10:45:21.465791-21.jpg,366.96614,526.575995,809.1594200000001,543.63573,1.0
22,071/3/2022-11-14 10:45:21.472128-22.jpg,368.40002,527.2737,808.777435,542.481705,1.0
23,071/3/2022-11-14 10:45:21.478347-23.jpg,371.482615,529.590065,807.3697249999999,542.07914,1.0
24,071/3/2022-11-14 10:45:21.487062-24.jpg,371.08829,528.877875,809.15946,544.90732,1.0
25,071/3/2022-11-14 10:45:21.493604-25.jpg,367.573275,527.66242,811.78195,544.796405,1.0
26,071/3/2022-11-14 10:45:21.501053-26.jpg,368.22383,531.827545,809.079185,545.6787300000001,1.0
27,071/3/2022-11-14 10:45:21.505099-27.jpg,367.26263,528.027565,808.4057999999999,543.60166,1.0
28,071/3/2022-11-14 10:45:21.509380-28.jpg,367.93707,530.229955,808.1326650000001,546.24743,1.0
29,071/3/2022-11-14 10:45:21.515836-29.jpg,366.01072,529.0826649999999,806.735275,545.85243,1.0
