ablation,setting,acc,macro_f1,roc_auc,time_sec
Coord,x,0.6470588235294118,0.6458333333333333,0.7142857142857143,4.169743707985617
Coord,y,0.5882352941176471,0.37037037037037035,0.8857142857142857,3.644343000021763
